Topic,Description,Front_end,Back_end,DBMS
E-commerce Website,Online shopping platform for customers to buy products,"React, CSS, HTML","Node.js, Express",MongoDB
Social Media Platform,Social networking site for users to share content and connect with friends,"Angular, Bootstrap, JavaScript","Ruby on Rails, GraphQL",PostgreSQL
Online Learning Platform,Educational platform for students to access courses and resources,"Vue.js, Materialize, HTML","Django, Python",MySQL
Health and Fitness App,Mobile app for users to track their fitness goals and health metrics,"React Native, Expo, JavaScript","Flask, Python",SQLite
Health and Fitness App,Mobile app for users to track their fitness goals and health metrics,"React Native, Expo, JavaScript","Flask, Python",SQLite
Blogging Platform,Online platform for bloggers to create and publish articles,"WordPress, PHP, HTML","Laravel, PHP",MySQL
Job Portal Website,Website for job seekers to search and apply for jobs,"Ember.js, CSS, HTML","Spring Boot, Java",Oracle
Online Food Delivery,Food delivery platform for customers to order food from restaurants,"React, Material-UI, JavaScript","ASP.NET Core, C#",SQL Server
Travel Booking Website,"Online travel agency for customers to book flights, hotels, and packages","Angular, Bootstrap, HTML","Ruby on Rails, GraphQL",PostgreSQL
Real Estate Website,Website for property buyers and sellers to search and list properties,"Vue.js, Vuetify, JavaScript","Django, Python",MySQL
News Aggregator,News aggregation and filtering platform,"HTML, CSS, JS",Python,MongoDB
 Online Survey Tool,Online survey and feedback collection platform,"React, CSS",Java,SQL Lite
 E-library,Digital library management platform,"HTML, CSS, JS",PHP,SQL
Online Auction Site,Online auction and bidding platform,"Angular, CSS",.NET,SQL
 Health and Wellness App,Health and wellness tracking and analytics platform,"HTML, CSS, JS",Python,MongoDB
Online Event Management,Event management and ticketing platform,"React, CSS",Java,SQL Lite
Online Forum,Online discussion forum and community platform,"HTML, CSS, JS",PHP,SQL
20. Stock Market Analysis,Stock market analysis and prediction platform,"Angular, CSS",.NET,SQL
21. Online Shopping Cart,Online shopping cart and checkout platform,"HTML, CSS, JS",Python,MongoDB
22. Social Media Analytics,Social media analytics and insights platform,"React, CSS",Java,SQL Lite
23. Online Hotel Booking,Hotel booking and management platform,"HTML, CSS, JS",PHP,SQL
24. Online Payment Gateway,Online payment processing and gateway platform,"Angular, CSS",.NET,SQL
25. Online CRM,Customer relationship management platform,"HTML, CSS, JS",Python,MongoDB
Online Project Management,Project management and collaboration platform,"React, CSS",Java,SQL Lite
27. Online Education Platform,Online education and course management platform,"HTML, CSS, JS",PHP,SQL
28. Online Job Management,Job management and recruitment platform,"Angular, CSS",.NET,SQL
29. Online Inventory Management,Inventory management and tracking platform,"HTML, CSS, JS",Python,MongoDB
30. Online Accounting Software,Accounting and financial management platform,"React, CSS",Java,SQL Lite
31. Online HR Management,Human resource management and payroll platform,"HTML, CSS, JS",PHP,SQL
32. Online Marketing Automation,Marketing automation and lead generation platform,"Angular, CSS",.NET,SQL
Online Customer Support,Customer support and ticketing platform,"React, CSS",Java,SQL Lite
35. Online Supply Chain Management,Supply chain management and logistics platform,"HTML, CSS, JS",PHP,SQL
36. Online Financial Analysis,Financial analysis and forecasting platform,"Angular, CSS",.NET,SQL
37. Online IT Service Management,IT service management and helpdesk platform,"HTML, CSS, JS",Python,MongoDB
38. Online Digital Marketing,Digital marketing and SEO platform,"React, CSS",Java,SQL Lite
39. Online Event Ticketing,Event ticketing and management platform,"HTML, CSS, JS",PHP,SQL
40. Online Travel Agency,Travel agency and booking platform,"Angular, CSS",.NET,SQL
Online Food Delivery,Food delivery platform for customers to order food from restaurants,"HTML, CSS, JS",Python,MongoDB
Café billing system,"A café billing system facilitates payment processing, order management, and sales reporting through a Point of Sale (POS) interface.","HTML,CSS,React",Python,MongoDB
Interiro design website,"A website showcasing interior design services, portfolios, and client testimonials for inspiration and consultation.","HTML,CSS,React",Python,MongoDB
Beauty product website,"A beauty product website offering a wide range of skincare, cosmetics, and haircare products for purchase and information.","HTML,CSS,React",Python,MongoDB
Spectacle website,A spectacle website featuring a variety of eyeglasses and sunglasses for online browsing and purchase.,"HTML,CSS,Angular",Python,SQL
Virtual PC assistant,"A virtual PC assistant offering personalized support, task automation, and information retrieval.","HTML,CSS,Angular",Python,MongoDB
Movie Recommendation system,A movie recommendation system using collaborative filtering and content-based filtering techniques to suggest films based on user preferences and viewing history.,"HTML,CSS,React",JAVA,SQL
Book recommendation system,"A book recommendation system utilizing user preferences, genre analysis, and collaborative filtering to suggest relevant books based on individual reading habits and interests.","HTML,CSS,Angular",JAVA,SQL
Series recommendation system,"A series recommendation system using user preferences, genre analysis, and collaborative filtering to suggest TV shows and series based on viewing history and interests.","HTML,CSS,React",JAVA,SQL
Onlinse resume builder,An online resume builder providing templates and tools to create professional resumes tailored to individual career profiles.,"HTML,CSS,JS",ASP.NET,SQL lIte
Personal finance management,"Personal finance management tools for budgeting, tracking expenses, saving goals, and optimizing financial health.","HTML,CSS,React",ASP.NET,SQLLite
News aggregater website,"Vision based methods using deep learning such as CNN to perform terrain recognition (sandy/rocky/grass/marshy) enhanced with implicit quantities information such as the roughness, slipperiness, an important aspect for high-level environment perception.","HTML,CSS,JS",ASP.NET,SQLLite
To-do List app,"A to-do list app for organizing tasks, setting reminders, and tracking completion progress.",React,ASP.NET,MongoDB
Weather forecast website,"A weather forecast website providing current conditions, forecasts, and weather updates for specific locations.",Angular,Python,SQL
College quiz platform,"A college quiz platform offering interactive quizzes, assessments, and educational challenges for students.",Angular,ASP.NET,SQL lite
Event management System,"An event management system facilitating planning, scheduling, and coordination of events, including registrations and logistics.","HTML,CSS",ASP.NET,SQL lite
Online store foe handmade product,"An online store featuring handmade products, showcasing unique craftsmanship and artisanal creations for sale.","HTML,CSS,React",Python,MongoDB
Online community forum,"An online store featuring handmade products, showcasing unique craftsmanship and artisanal creations for sale.",React,"Django, Python",SQL
Online virtual wadrobe app,An online virtual wardrobe app for trying on and organizing virtual outfits and fashion items.,Angular,"Django, Python",MongoDB
ChatBot,A ChatBot providing automated responses and assistance based on user queries and interactions.,Angular,Python,SQL
Identification of place names from a natural language sentence.,"To identify place names from a sentence:
1. Tokenize the sentence into words or phrases.
2. Use Named Entity Recognition (NER) techniques to detect tokens representing locations.
3. Validate identified entities using a geographical knowledge base if needed.",React,"Django, Python",SQL
Suggest an Al-based solution to enable ease of grievance lodging and tracking for citizens across multiple departments,"Implement an AI-powered centralized platform for citizens to lodge and track grievances across multiple departments using NLP, ML for automated routing, and robust case management.",React,Python,SQL
Aerial Location of Hazardous Atmosphere in Industries,AI-enabled aerial monitoring for identifying hazardous atmospheres in industrial settings.,"HTML,CSS,React","Django, Python",MongoDB
"Development of NTRIP (Network Transport of RTCM via internet protocol) Caster, NTRIP Client and Server on web or mobile platform.","Developing an NTRIP system involves creating a server (caster) for broadcasting RTCM correction data and clients (web or mobile) to receive this data, facilitating high-precision GPS positioning over the internet.",React,JAVA,SQL
Generation of Hazard map at 1m grid spacing (1m height resolution) using 5m spatial resolution data for safely navigating a Lander to a safe landing site using Super resolution techniques.,Enhancing hazard map resolution from 5m to 1m using super-resolution techniques for precise Lander navigation safety.,"HTML,CSS,React",JAVA,SQL Lite
Change detection due to human activities.,"""Detecting changes in the environment caused by human activities.""",Angular,python,MongoDB
Identification of place names from a natural language sentence.,Extracting place names from natural language sentences for identification and analysis.,Angular,Python,SQL
Suggest an Al-based solution to enable ease of grievance lodging and tracking for citizens across multiple departments,Developing an AI-driven platform for seamless grievance submission and tracking across diverse government departments.,"HTML,CSS,React",JAVA,SQL Lite
Smart and Effective realtime Management of street parking,"""Implementing an AI-driven system for real-time and efficient management of street parking.""","Angular, Bootstrap","Django, Python",
Comprehensive lnspection and Analysis of Water Supply Distribution Lines,"""Implementing AI for comprehensive inspection and analysis of water supply distribution lines.""","HTML ,React",JAVA,
A unified portal for developing a model Curriculum for all the AICTE Approved Institutes,"""Creating a unified portal for developing a model curriculum across all AICTE-approved institutes.""","HTML,CSS,React",Django,
Design and Developed a personalized online meeting system for AICTE,"""Design and develop a personalized online meeting system tailored for AICTE.""",React,ASP.NET,
